REPAIR_ID,PLAYER_ID,PLATFORM_MODEL,INTAKE_DATE,TECH_DIAGNOSIS,UPGRADE_PARTS_INSTALLED,REPAIR_STATUS
R_8170,P_0170,KWA GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8171,P_0171,Krytac AK74U,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8172,P_0172,KWA GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8173,P_0173,PolarStar MTW,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8174,P_0174,Tokyo Marui_SSG10,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8175,P_0175,Tokyo Marui_SSG10,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8176,P_0176,Modify_Steyr Scout,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8177,P_0177,G&G SR25,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8178,P_0178,Krytac_SR25_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8179,P_0179,Tokyo Marui_SCAR-L_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8180,P_0180,Tokyo Marui SCAR-L,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8181,P_0181,Cyma_SCAR-L_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8182,P_0182,WE Tech GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8183,P_0183,KJW GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8184,P_0184,Krytac_Vector SMG_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8185,P_0185,PolarStar MTW,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8186,P_0186,KJW GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8187,P_0187,LCT_SR25_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8188,P_0188,Modify_Steyr Scout,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8189,P_0189,PolarStar Jack CQB,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8190,P_0190,KWA GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8191,P_0191,Redline Kythera SR25,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8192,P_0192,Silverback_VSR-10,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8193,P_0193,Tokyo Marui_VSR-10,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8194,P_0194,KWA GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8195,P_0195,VFC_SCAR-L_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8196,P_0196,Tokyo Marui GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8197,P_0197,LCT Vector SMG,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8198,P_0198,Tokyo Marui M4 CQB,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8199,P_0199,G&G_AK74U_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8200,P_0200,GHK GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8201,P_0201,Tokyo Marui_M4 CQB_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8202,P_0202,GHK GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8203,P_0203,G&G_SCAR-L_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8204,P_0204,GHK GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8205,P_0205,Wolverine F2 M4,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8206,P_0206,Modify_SSG10,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8207,P_0207,VFC SCAR-L,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8208,P_0208,Tokyo Marui GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8209,P_0209,GHK GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8210,P_0210,KJW GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8211,P_0211,LCT Vector SMG,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8212,P_0212,KWA GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8213,P_0213,Krytac Vector SMG,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8214,P_0214,Novritsch_SRS A2,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8215,P_0215,Novritsch_SSG10,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8216,P_0216,Tokyo Marui_SR25_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8217,P_0217,KWA GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8218,P_0218,WE Tech GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8219,P_0219,Krytac_SCAR-L_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8220,P_0220,Tokyo Marui_Steyr Scout,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8221,P_0221,Cyma M4 CQB,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8222,P_0222,PolarStar Jack CQB,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8223,P_0223,Wolverine Jack CQB,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8224,P_0224,Redline Jack CQB,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8225,P_0225,LCT_M4 CQB_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8226,P_0226,Silverback_SSG10,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8227,P_0227,Cyma_AK74U_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8228,P_0228,LCT_M4 CQB_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8229,P_0229,Wolverine Jack CQB,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8230,P_0230,Tokyo Marui M4 CQB,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8231,P_0231,Krytac SR25,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8232,P_0232,G&G_SCAR-L_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8233,P_0233,VFC M4 CQB,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8234,P_0234,VFC_SR25_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8235,P_0235,Novritsch_VSR-10,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8236,P_0236,Wolverine Jack CQB,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8237,P_0237,Novritsch_SRS A2,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8238,P_0238,VFC AK74U,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8239,P_0239,Novritsch_SRS A2,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8240,P_0240,Tokyo Marui_M4 CQB_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8241,P_0241,KWA GBB,2026-11-22,Shattered loading nozzle and frozen piston seal from rapid venting in cold weather.,Polycarbonate Loading Nozzle; Winter Seal,COMPLETED
R_8242,P_0242,LCT AK74U,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8243,P_0243,Modify_SRS A2,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8244,P_0244,Redline F2 M4,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8245,P_0245,Silverback_VSR-10,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8246,P_0246,G&G SR25,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
R_8247,P_0247,LCT_Vector SMG_Elec,2026-11-20,Stripped spur gear and burnt motor due to terrible factory shimming/AOE.,Prometheus Shim Set; High Torque Motor,COMPLETED
R_8248,P_0248,PolarStar F2 M4,2026-11-21,FCU locked due to field ban. Customer requested dwell reduction for heavy ammo.,Zip-tie tournament lock,COMPLETED
R_8249,P_0249,Tokyo Marui_SRS A2,2026-11-23,Customer wanted to lift heavy ammo. Factory rubber too weak.,Maple Leaf 70deg Macaron; Omega Nub,COMPLETED
R_8250,P_0250,Krytac Vector SMG,2026-11-24,Routine maintenance. Re-lubed cylinder.,Silicone Grease,COMPLETED
